V,S,R,G,d,W1,W2,W3,W4,W5,W6,W7,W8,D1,D2,D3,D4,D5,D6,D7,D8,WO1,WO2,WO3,WO4,WO5,WO6,WN1,WN2,WN3,WN4,WN5,WN6,IW1,IW2,IW3,IW4,CW1,CW2,CW3,CW4,CW5,CW6,CW7,CW8,ID1,ID2,ID3,ID4,CD1,CD2,CD3,CD4,CD5,CD6,CD7,CD8,HL1,HL2,A,CP,POL,MW,FLEX,FLEX_RB,NCC,DIFF,SE,SE0,SE1,LOGP n-Oct,LOGP c-Hex,PSA,HSA,PSAR,PHSAR,LgD5,LgD6,LgD7,LgD7.5,LgD8,LgD9,LgD10,AUS7.4,%FU4,%FU5,%FU6,%FU7,%FU8,%FU9,%FU10,SOLY,LgS3,LgS4,LgS5,LgS6,LgS7,LgS7.5,LgS8,LgS9,LgS10,LgS11,MpKaA,mpKaB,PB,VD,CACO2,SKIN,MetStab,HTSflag,C1,C2,C3,C4,C5,P1,P2,P3,P4,P5,EMDIF,EMDIS,Sdry/S,Spol/S,FLEX_PT,PAINS,Target
299.25,235.801,1.26908,1.13778,0.294564,517.25,279.625,152.625,69.25,34.125,11.75,0.125,0.0,103.75,29.25,4.625,1.125,0.0,0.0,0.0,0.0,91.625,30.875,6.5,0.0,0.0,0.0,187.0,86.125,40.875,14.375,0.125,0.0,0.272703,0.815393,1.43325,1.84855,2.19359,1.18585,0.647262,0.29368,0.144719,0.0498301,0.000530108,0.0,0.102079,0.247568,0.0,0.0,0.439989,0.124045,0.019614,0.00477097,0.0,0.0,0.0,0.0,7.37838,10.4444,6.10218,0.119011,10.586,88.1482,0.630405,0.126081,0,1.00356,2.884,0.0,2.884,1.58114,-0.902,20.23,215.571,0.0857926,0.0938437,1.58114,1.58114,1.58114,1.58114,1.58114,1.58114,1.58113,2.0,100.0,100.0,100.0,100.0,100.0,100.0,99.9998,-0.745581,-0.745581,-0.745581,-0.745581,-0.745581,-0.745581,-0.745581,-0.745581,-0.745581,-0.745581,-0.745581,15.8305,,39.2011,0.0611287,1.14868,-2.07659,100.0,0,0.0,0.0,0.142857,0.571429,0,0,0.0,0.142857,0.142857,0.0,3.91223,1.41847,0.563186,0.278996,3.06186,0,0.2
207.75,176.818,1.17494,1.0642,0.289266,437.0,286.375,158.125,74.5,36.0,11.875,0.0,0.0,60.5,13.0,1.375,0.0,0.0,0.0,0.0,0.0,97.875,34.75,7.0,0.0,0.0,0.0,192.125,88.0,41.75,15.125,0.0,0.0,0.375171,0.891037,1.51171,0.0,2.47147,1.6196,0.894281,0.421337,0.203599,0.0671594,0.0,0.0,0.151078,0.389618,0.0,0.0,0.34216,0.0735219,0.00777635,0.0,0.0,0.0,0.0,0.0,26.1818,23.75,5.44448,0.027925,6.916,60.095,0.105548,0.0351828,0,1.13491,2.884,0.0,2.884,0.602398,-1.446,20.23,156.588,0.114411,0.129192,0.602398,0.602398,0.602398,0.602398,0.602398,0.602398,0.602398,2.0,100.0,100.0,100.0,100.0,100.0,100.0,99.9999,0.231534,0.231534,0.231534,0.231534,0.231534,0.231534,0.231534,0.231534,0.231534,0.231534,0.231534,15.8747,,9.28239,0.152206,1.02037,-2.68411,100.0,0,0.0,0.0,0.2,0.4,0,0,0.0,0.2,0.2,0.0,3.92308,1.25455,0.437964,0.40027,1.5,0,-0.15
277.625,227.717,1.21917,1.16388,0.440034,750.375,579.875,323.125,115.25,46.125,5.875,0.0,0.0,32.25,14.125,8.875,5.0,2.0,1.0,0.0,0.0,141.0,48.125,15.875,2.625,0.0,0.0,323.5,111.0,42.75,2.625,0.0,0.0,0.125898,0.261371,0.890169,0.0,3.2952,2.54647,1.41897,0.50611,0.202554,0.0257995,0.0,0.0,0.161183,0.330629,0.415046,0.0,0.141623,0.0620287,0.0389738,0.0219571,0.00878282,0.00439141,0.0,0.0,5.19718,1.175,5.06747,0.17982,11.359,122.164,0.831148,0.207787,0,1.01202,7.33562,2.1835,5.15212,0.107371,1.45,67.04,160.677,0.2944,0.417234,-3.17698,-2.5223,-1.58621,-1.10911,-0.663915,-0.0661874,0.0865395,0.745238,0.00203452,0.0203414,0.203043,1.99399,16.906,67.0463,95.3152,0.0430563,3.54027,3.51599,3.32741,2.67273,1.73664,1.25954,0.814342,0.216614,0.0638874,0.045185,,8.69153,39.2683,0.404068,0.445326,-3.65077,100.0,0,0.0,0.142857,0.142857,0.142857,0,0,0.0,0.142857,0.0,0.0,5.608,1.29797,0.181277,0.480805,2.04444,0,-0.18
266.875,208.326,1.28105,1.05945,0.460859,386.0,61.25,0.0,0.0,0.0,0.0,0.0,0.0,193.0,76.875,21.875,6.375,0.875,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0309787,0.0,0.0,0.0,1.85287,0.294011,0.0,0.0,0.0,0.0,0.0,0.0,0.0439829,0.0733211,0.283465,0.0,0.926435,0.369014,0.105004,0.0306011,0.00420016,0.00120004,0.0,0.0,0.0,0.0,0.743939,43.75,8.905,122.992,7.54992e-07,3.77496e-07,0,1.08278,0.609417,0.609417,0.0,2.14147,1.363,0.0,208.326,0.0,0.0,2.14147,2.14147,2.14147,2.14147,2.14147,2.14147,2.14147,2.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,-2.40706,-2.40706,-2.40706,-2.40706,-2.40706,-2.40706,-2.40706,-2.40706,-2.40706,-2.40706,-2.40706,,,47.6911,0.62468,1.56514,-1.20712,68.7536,0,0.0,0.0,0.25,0.5,0,0,0.0,0.0,0.0,0.0,1.2216,1.95993,1.0,0.0,0.0,0,0.56
250.25,204.546,1.22344,1.09922,0.288135,436.0,227.0,120.5,57.625,28.75,13.125,2.5,0.0,99.375,32.0,9.0,3.375,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,144.625,70.0,34.375,13.875,1.75,0.0,0.304313,0.995497,1.78476,2.30084,2.13155,1.10978,0.589111,0.281722,0.140555,0.0641666,0.0122222,0.0,0.0850891,0.0804835,0.424866,0.0,0.485833,0.156444,0.044,0.0165,0.00183333,0.0,0.0,0.0,3.19444,3.88889,4.07574,0.997917,7.909,72.1057,0.203333,0.0677777,0,1.08237,3.88808,3.88808,0.0,0.374785,0.368,17.07,187.476,0.0834533,0.0910519,0.374785,0.374785,0.374785,0.374785,0.374785,0.374785,0.374785,2.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,-0.208367,-0.208367,-0.208367,-0.208367,-0.208367,-0.208367,-0.208367,-0.208367,-0.208367,-0.208367,-0.208367,,,33.5052,-0.0542216,1.1934,-2.04372,100.0,0,0.0,0.2,0.0,0.6,0,0,0.0,0.0,0.2,0.0,6.02258,1.21082,0.621866,0.267636,0.838525,0,-0.07
372.125,275.167,1.35236,1.1534,0.26927,421.75,65.0,0.0,0.0,0.0,0.0,0.0,0.0,208.125,60.25,16.0,5.25,1.5,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00845617,0.0,0.0,0.0,1.53271,0.23622,0.0,0.0,0.0,0.0,0.0,0.0,0.00763641,0.0534158,0.17691,0.0,0.756359,0.218958,0.0581465,0.0190793,0.00545124,0.00045427,0.0,0.0,0.0,0.0,1.25863,32.0,13.619,100.202,0.751655,0.125276,0,0.938461,0.0,0.0,0.0,3.60476,2.2,0.0,275.167,0.0,0.0,3.60476,3.60476,3.60476,3.60476,3.60476,3.60476,3.60476,2.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,-3.22054,-3.22054,-3.22054,-3.22054,-3.22054,-3.22054,-3.22054,-3.22054,-3.22054,-3.22054,-3.22054,,,55.1455,0.563181,1.73038,-0.803449,48.6269,0,0.0,0.0,0.0,1.0,0,0,0.0,0.0,0.0,0.0,0.227,1.54788,0.968139,0.0,2.88627,0,0.9
684.5,449.242,1.52368,1.30804,0.412535,1081.25,573.625,214.0,55.75,15.0,0.25,0.0,0.0,293.25,144.125,68.25,39.5,27.375,18.125,13.25,8.5,117.125,29.125,6.875,0.0,0.0,0.0,225.0,55.375,16.875,0.625,0.0,0.0,0.0556308,0.273597,0.776724,0.0,2.40683,1.27687,0.476358,0.124098,0.0333896,0.000556493,0.0,0.0,0.0401213,0.0644804,0.0905724,0.0804143,0.652766,0.320818,0.151923,0.0879258,0.060936,0.0403457,0.0294941,0.0189208,0.21978,0.00632911,5.42621,7.14015,33.795,282.38,0.797457,0.132909,0,0.615773,5.42621,0.0,5.42621,3.4318,1.019,35.27,413.972,0.07851,0.085199,-0.698153,-0.0348221,0.677737,1.13256,1.61279,2.55085,3.18321,0.0307309,3.92836e-06,0.00031847,0.011007,0.145718,1.48599,13.1263,56.404,-3.30725,2.71952,1.77152,0.84903,0.16129,-0.553142,-1.00801,-1.48825,-2.4263,-3.05867,-2.96688,10.9491,5.57453,94.2082,0.588261,0.9949,-1.98261,65.3204,0,0.0,0.0434783,0.173913,0.565217,0,0,0.0,0.0869565,0.0869565,0.0,5.99825,7.78191,0.83554,0.117893,1.09982,0,0.53
411.25,297.0,1.38468,1.17032,0.277759,481.625,85.25,0.0,0.0,0.0,0.0,0.0,0.0,226.75,68.25,23.625,9.125,3.25,0.75,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00510538,0.0,0.0,0.0,1.62163,0.287037,0.0,0.0,0.0,0.0,0.0,0.0,0.00592413,0.0302952,0.0515401,0.138812,0.763467,0.229798,0.0795453,0.0307239,0.0109427,0.00252525,0.00126262,0.0,0.0,0.0,0.938523,47.25,15.454,114.229,0.834701,0.119243,0,0.918469,0.0,0.0,0.0,4.09413,2.472,0.0,297.0,0.0,0.0,4.09413,4.09413,4.09413,4.09413,4.09413,4.09413,4.09413,2.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,-3.65056,-3.65056,-3.65056,-3.65056,-3.65056,-3.65056,-3.65056,-3.65056,-3.65056,-3.65056,-3.65056,,,59.3891,0.615542,1.67057,-0.687504,44.7343,0,0.0,0.0,0.0,1.0,0,0,0.0,0.0,0.0,0.0,0.241291,1.53492,0.977237,0.0,4.10122,0,0.86
502.0,361.59,1.38831,1.28794,0.28343,582.125,111.75,1.125,0.0,0.0,0.0,0.0,0.0,268.125,90.75,26.25,8.5,2.875,1.0,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00260759,0.149538,0.0,0.0,1.6099,0.309052,0.00311126,0.0,0.0,0.0,0.0,0.0,0.0043681,0.0102907,0.0719906,0.237824,0.741517,0.250975,0.0725961,0.0235073,0.007951,0.00276556,0.00103709,0.0,0.0,0.0,0.709275,52.5,19.124,142.282,1.42247,0.158052,0,0.810085,0.0,0.0,0.0,5.07286,3.016,0.0,361.59,0.0,0.0,5.07286,5.07286,5.07286,5.07286,5.07286,5.07286,5.07286,2.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,-4.29867,-4.29867,-4.29867,-4.29867,-4.29867,-4.29867,-4.29867,-4.29867,-4.29867,-4.29867,-4.29867,,,66.8333,0.603095,1.7037,-0.432653,32.1117,0,0.0,0.0,0.0,1.0,0,0,0.0,0.0,0.0,0.0,0.25589,1.54136,0.949142,0.0,6.34069,0,1.05
290.75,226.204,1.28534,1.10028,0.296242,462.25,222.0,114.25,54.375,29.0,12.5,2.625,0.0,119.875,34.875,10.5,4.25,1.625,0.75,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,141.75,66.25,34.375,13.875,2.125,0.0,0.230373,0.869263,1.52492,2.02326,2.04351,0.981414,0.505075,0.24038,0.128203,0.0552598,0.0116046,0.0,0.0706874,0.120296,0.37628,0.498282,0.529941,0.154175,0.0464182,0.0187883,0.00718377,0.00331559,0.0011052,0.0,2.7619,2.94118,4.58045,0.704026,9.744,86.1323,0.52085,0.130213,0,0.995239,3.8872,3.8872,0.0,0.864153,0.64,17.07,209.134,0.0754628,0.0816222,0.864153,0.864153,0.864153,0.864153,0.864153,0.864153,0.864153,2.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,-0.828469,-0.828469,-0.828469,-0.828469,-0.828469,-0.828469,-0.828469,-0.828469,-0.828469,-0.828469,-0.828469,,,38.6768,0.0618579,1.33125,-1.90903,96.9529,0,0.0,0.166667,0.0,0.666667,0,0,0.0,0.0,0.166667,0.0,6.0217,1.21062,0.678325,0.228361,1.66565,0,-0.01
